authorization_code,tx_id,fecha_tx,gateway,card_type,card_last4,monto_bruto_gw,comision_gw,neto_gw,currency,estado_gw,batch_id,tx_id_base,es_duplicado,tipo_diferencia
AUTH433232,TXN-202407-0143,2024-07-27,Datafast,VISA,3624,1589.71,55.64,1446.63,USD,SETTLED,BATCH-8496,TXN-202407-0143,1,DUPLICADO_GATEWAY
AUTH826059,TXN-202407-0172,2024-07-06,Datafast,AMEX,1392,2194.03,76.79,1996.57,USD,SETTLED,BATCH-2571,TXN-202407-0172,1,DUPLICADO_GATEWAY
AUTH160114,TXN-202407-0231,2024-07-19,Datafast,VISA,4066,2655.28,92.93,2416.31,USD,SETTLED,BATCH-4209,TXN-202407-0231,1,DUPLICADO_GATEWAY
AUTH922490,TXN-202407-0237,2024-07-09,PayPhone,MASTERCARD,8531,12.71,0.48,11.53,USD,SETTLED,BATCH-2385,TXN-202407-0237,1,DUPLICADO_GATEWAY
AUTH278510,TXN-202407-0333,2024-07-12,Medianet,MASTERCARD,9739,66.18,2.12,60.42,USD,SETTLED,BATCH-7879,TXN-202407-0333,1,DUPLICADO_GATEWAY
AUTH686585,TXN-202408-0058,2024-08-26,Datafast,VISA,3583,92.31,3.23,84.01,USD,SETTLED,BATCH-6096,TXN-202408-0058,1,DUPLICADO_GATEWAY
AUTH975801,TXN-202408-0096,2024-08-17,Datafast,VISA,6550,2285.76,80.0,2080.04,USD,SETTLED,BATCH-2373,TXN-202408-0096,1,DUPLICADO_GATEWAY
AUTH704886,TXN-202408-0172,2024-08-19,Datafast,MASTERCARD,3361,402.36,14.08,366.15,USD,SETTLED,BATCH-1499,TXN-202408-0172,1,DUPLICADO_GATEWAY
AUTH157041,TXN-202408-0482,2024-08-16,Medianet,AMEX,1639,30.51,0.98,27.85,USD,SETTLED,BATCH-9122,TXN-202408-0482,1,DUPLICADO_GATEWAY
AUTH410360,TXN-202409-0012,2024-09-28,PayPhone,MASTERCARD,3091,294.38,11.19,267.0,USD,SETTLED,BATCH-3273,TXN-202409-0012,1,DUPLICADO_GATEWAY
AUTH455340,TXN-202409-0029,2024-09-26,PayPhone,MASTERCARD,5717,31.47,1.2,28.54,USD,SETTLED,BATCH-1366,TXN-202409-0029,1,DUPLICADO_GATEWAY
AUTH723758,TXN-202409-0081,2024-09-29,Medianet,MASTERCARD,1794,16.83,0.54,15.36,USD,SETTLED,BATCH-6509,TXN-202409-0081,1,DUPLICADO_GATEWAY
AUTH200291,TXN-202409-0291,2024-09-21,Datafast,MASTERCARD,4208,42.15,1.48,38.35,USD,SETTLED,BATCH-7800,TXN-202409-0291,1,DUPLICADO_GATEWAY
AUTH443272,TXN-202409-0292,2024-09-16,Medianet,VISA,2710,73.04,2.34,66.68,USD,SETTLED,BATCH-4887,TXN-202409-0292,1,DUPLICADO_GATEWAY
AUTH967469,TXN-202409-0396,2024-09-12,PayPhone,AMEX,1496,811.91,30.85,736.4,USD,SETTLED,BATCH-8916,TXN-202409-0396,1,DUPLICADO_GATEWAY
AUTH135604,TXN-202409-0400,2024-09-13,Medianet,VISA,8011,66.58,2.13,60.78,USD,SETTLED,BATCH-4886,TXN-202409-0400,1,DUPLICADO_GATEWAY
AUTH424660,TXN-202409-0436,2024-09-01,Medianet,VISA,1355,154.99,4.96,141.51,USD,SETTLED,BATCH-8655,TXN-202409-0436,1,DUPLICADO_GATEWAY
AUTH593233,TXN-202410-0264,2024-10-22,Datafast,MASTERCARD,4250,140.74,4.93,128.07,USD,SETTLED,BATCH-5056,TXN-202410-0264,1,DUPLICADO_GATEWAY
AUTH541685,TXN-202410-0302,2024-10-12,Medianet,MASTERCARD,9585,170.85,5.47,155.98,USD,SETTLED,BATCH-4325,TXN-202410-0302,1,DUPLICADO_GATEWAY
AUTH235212,TXN-202411-0040,2024-11-18,Datafast,VISA,7578,77.52,2.71,70.54,USD,SETTLED,BATCH-1869,TXN-202411-0040,1,DUPLICADO_GATEWAY
AUTH250634,TXN-202411-0146,2024-11-19,Medianet,MASTERCARD,3968,100.51,3.22,91.76,USD,SETTLED,BATCH-6478,TXN-202411-0146,1,DUPLICADO_GATEWAY
AUTH136051,TXN-202411-0403,2024-11-25,Datafast,VISA,6498,439.94,15.4,400.34,USD,SETTLED,BATCH-4432,TXN-202411-0403,1,DUPLICADO_GATEWAY
AUTH314989,TXN-202411-0492,2024-11-09,Medianet,MASTERCARD,4745,125.25,4.01,114.35,USD,SETTLED,BATCH-9388,TXN-202411-0492,1,DUPLICADO_GATEWAY
AUTH445849,TXN-202411-0500,2024-11-17,Datafast,MASTERCARD,8252,45.88,1.61,41.75,USD,SETTLED,BATCH-3380,TXN-202411-0500,1,DUPLICADO_GATEWAY
AUTH703491,TXN-202412-0017,2024-12-24,Datafast,VISA,7113,42.47,1.49,38.65,USD,SETTLED,BATCH-7262,TXN-202412-0017,1,DUPLICADO_GATEWAY
AUTH907569,TXN-202412-0198,2024-12-23,PayPhone,VISA,5729,393.02,14.93,356.47,USD,SETTLED,BATCH-3749,TXN-202412-0198,1,DUPLICADO_GATEWAY
AUTH241483,TXN-202412-0211,2024-12-08,Medianet,MASTERCARD,5863,5.32,0.17,4.86,USD,SETTLED,BATCH-2330,TXN-202412-0211,1,DUPLICADO_GATEWAY
AUTH235409,TXN-202412-0325,2024-12-09,Datafast,MASTERCARD,6134,59.29,2.08,53.95,USD,SETTLED,BATCH-4212,TXN-202412-0325,1,DUPLICADO_GATEWAY
AUTH194715,TXN-202412-0388,2024-12-17,Datafast,VISA,6454,6.6,0.23,6.0,USD,SETTLED,BATCH-3472,TXN-202412-0388,1,DUPLICADO_GATEWAY
AUTH758177,TXN-202412-0445,2024-12-31,Medianet,MASTERCARD,6011,444.59,14.23,405.9,USD,SETTLED,BATCH-2150,TXN-202412-0445,1,DUPLICADO_GATEWAY
AUTH275791,TXN-202409-0292-DUP,2024-09-16,Medianet,VISA,5398,73.04,2.34,66.68,USD,SETTLED,BATCH-6257,TXN-202409-0292,1,DUPLICADO_GATEWAY
AUTH524659,TXN-202408-0096-DUP,2024-08-17,Datafast,VISA,3755,2285.76,80.0,2080.04,USD,SETTLED,BATCH-3710,TXN-202408-0096,1,DUPLICADO_GATEWAY
AUTH966935,TXN-202407-0237-DUP,2024-07-09,PayPhone,MASTERCARD,5858,12.71,0.48,11.53,USD,SETTLED,BATCH-4055,TXN-202407-0237,1,DUPLICADO_GATEWAY
AUTH676641,TXN-202412-0325-DUP,2024-12-09,Datafast,MASTERCARD,5435,59.29,2.08,53.95,USD,SETTLED,BATCH-6128,TXN-202412-0325,1,DUPLICADO_GATEWAY
AUTH320303,TXN-202409-0291-DUP,2024-09-21,Datafast,MASTERCARD,3544,42.15,1.48,38.35,USD,SETTLED,BATCH-4031,TXN-202409-0291,1,DUPLICADO_GATEWAY
AUTH630084,TXN-202409-0400-DUP,2024-09-13,Medianet,VISA,1504,66.58,2.13,60.78,USD,SETTLED,BATCH-7790,TXN-202409-0400,1,DUPLICADO_GATEWAY
